City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.22,81,4,8.38,SH,1699816378
1,kodiak,57.79,-152.4072,1.73,60,0,2.06,US,1699816349
2,as sulayyil,20.4607,45.5779,23.14,37,77,3.79,SA,1699816379
3,stanley,54.868,-1.6985,6.51,92,75,3.6,GB,1699816379
4,vilyuysk,63.7553,121.6247,-20.24,99,42,2.16,RU,1699816379
5,bilibino,68.0546,166.4372,-13.18,89,100,3.47,RU,1699816380
6,blackmans bay,-43.0167,147.3167,8.07,80,9,0.45,AU,1699816380
7,road town,18.4167,-64.6167,31.05,70,75,5.14,VG,1699816380
8,anadyr,64.75,177.4833,-0.72,92,20,7.0,RU,1699816381
9,sterling,39.0062,-77.4286,11.42,53,20,3.13,US,1699816134
10,walvis bay,-22.9575,14.5053,15.74,80,10,0.77,NA,1699816381
11,nar'yan-mar,67.6713,53.087,-8.27,94,16,2.68,RU,1699816381
12,santa maria,-29.6842,-53.8069,23.65,96,86,5.42,BR,1699816381
13,akbarabad,29.2464,52.7793,9.79,34,99,1.25,IR,1699816382
14,grytviken,-54.2811,-36.5092,5.46,81,100,2.51,GS,1699816382
15,ribeira grande,38.5167,-28.7,21.22,88,75,10.29,PT,1699816382
16,dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699816383
17,mount gambier,-37.8333,140.7667,6.95,95,37,0.47,AU,1699816383
18,port blair,11.6667,92.75,25.02,94,75,0.51,IN,1699816384
19,ilulissat,69.2167,-51.1,-9.99,62,75,0.0,GL,1699816384
20,iskateley,67.6803,53.1512,-8.32,94,16,2.68,RU,1699816384
21,st. john's,47.5649,-52.7093,1.2,83,100,1.34,CA,1699816254
22,dickinson,29.4608,-95.0513,18.98,87,100,3.09,US,1699816385
23,la passe,45.5549,-0.8967,16.13,91,100,6.35,FR,1699816385
24,yellowknife,62.456,-114.3525,-5.88,96,100,9.26,CA,1699816385
25,mosjoen,65.836,13.1908,0.23,79,0,0.51,NO,1699816386
26,cidreira,-30.1811,-50.2056,20.51,96,100,3.62,BR,1699816386
27,tolanaro,-25.0319,46.9987,21.72,73,0,6.64,MG,1699816387
28,ushuaia,-54.8,-68.3,10.79,53,0,3.6,AR,1699816125
29,waitangi,-43.9535,-176.5597,13.23,82,100,2.24,NZ,1699816387
30,lebu,-37.6167,-73.65,11.4,56,3,8.12,CL,1699816388
31,new norfolk,-42.7826,147.0587,8.72,90,16,1.67,AU,1699816388
32,klyuchi,52.2667,79.1667,5.36,85,99,4.91,RU,1699816389
33,al hada,21.3675,40.2869,16.66,59,53,0.75,SA,1699816389
34,port-aux-francais,-49.35,70.2167,6.25,93,100,13.54,TF,1699816389
35,iqaluit,63.7506,-68.5145,-17.15,77,20,7.72,CA,1699816390
36,atafu village,-8.5421,-172.5159,28.65,71,100,0.77,TK,1699816390
37,villa gesell,-37.2639,-56.973,16.7,54,95,7.45,AR,1699816162
38,college,64.8569,-147.8028,-7.03,79,100,2.57,US,1699816149
39,albany,42.6001,-73.9662,5.88,54,10,1.79,US,1699816195
40,puerto san jose,13.9256,-90.8244,30.54,68,2,2.89,GT,1699816391
41,longyearbyen,78.2186,15.6401,-1.09,59,75,4.63,SJ,1699816391
42,bethel,41.3712,-73.414,7.34,56,0,2.57,US,1699816214
43,invercargill,-46.4,168.35,11.12,95,99,2.24,NZ,1699816220
44,san antonio de pale,-1.4014,5.6325,26.43,84,100,5.4,GQ,1699816392
45,puerto ayora,-0.7393,-90.3518,29.98,87,34,4.02,EC,1699816392
46,saguenay,48.4168,-71.0657,-0.51,73,100,3.6,CA,1699816393
47,menongue,-14.6585,17.691,21.65,65,91,4.46,AO,1699816394
48,margaret river,-33.95,115.0667,14.09,86,100,5.43,AU,1699816394
49,yerba buena,-26.8167,-65.3167,30.63,87,100,2.42,AR,1699816395
50,bahraigh,27.5833,81.6,19.17,53,0,1.74,IN,1699816396
51,alesund,62.4723,6.1549,4.07,70,0,4.12,NO,1699816396
52,bredasdorp,-34.5322,20.0403,14.53,76,0,1.64,ZA,1699816397
53,puerto leguizamo,-0.1934,-74.7819,28.33,86,38,1.72,CO,1699816397
54,sarmiento,-45.5882,-69.07,15.68,19,6,8.54,AR,1699816397
55,haiku-pauwela,20.9219,-156.3051,26.69,65,20,10.8,US,1699816398
56,port alfred,-33.5906,26.891,14.54,84,6,0.89,ZA,1699816398
57,jamestown,42.097,-79.2353,9.18,48,0,1.34,US,1699816219
58,upington,-28.4478,21.2561,24.21,19,0,2.57,ZA,1699816399
59,adamstown,-25.066,-130.1015,22.71,81,100,7.59,PN,1699816399
60,kristiansund,63.1115,7.732,1.36,75,0,1.54,NO,1699816399
61,lisakovsk,52.5369,62.4936,5.75,86,100,1.75,KZ,1699816400
62,ceeldheer,3.8488,47.1806,26.9,83,100,4.56,SO,1699816400
63,siwa oasis,29.2041,25.5195,23.74,40,0,2.67,EG,1699816400
64,kudahuvadhoo,2.6708,72.8944,27.6,73,40,1.77,MV,1699816401
